"Sl no","pdf_urls"
"35","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1MjY5NzAwMDAwMjY4NzIwMjNMMQ%3D%3D"
"36","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1Mjc4MzAwMDAwMjQ2NjIwMjNJUw%3D%3D"
"37","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1MjgzOTAwMDAwMjUyMjIwMjNJUw%3D%3D"
"38","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1Mjc1MDAwMDAwMjkzMzIwMjNMMQ%3D%3D"
"39","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1MjYyMTAwMDAwMjIxMzIwMjNJUw%3D%3D"
"40","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1MjYzMDAwMDAwMjIyMjIwMjNJUw%3D%3D"
"41","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1Mjc4MTAwMDAwMjQ1NTIwMjNJUw%3D%3D"
"42","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1MjYyOTAwMDAwMjU4NTIwMjNMMQ%3D%3D"
"43","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1MzIyNjAwMDAwMzk5NjIwMjNMMQ%3D%3D"
"44","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1MzM5OTAwMDAwNDU1NTIwMjNMMQ%3D%3D"
"736","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NjIyNTAwMDAwOTAwNzIwMjNJUw%3D%3D"
"45","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1Mjg2NDAwMDAwMjYzMTIwMjNJUw%3D%3D"
"46","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1Mjg2OTAwMDAwMzI1NTIwMjNMMQ%3D%3D"
"47","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1Mjg3MzAwMDAwMjYzODIwMjNJUw%3D%3D"
"48","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1MzM4MDAwMDAwNDMxNjIwMjNMMQ%3D%3D"
"49","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1MzQzODAwMDAwMzc2NjIwMjNJUw%3D%3D"
"50","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1MzU0MjAwMDAwNDAxNjIwMjNJUw%3D%3D"
"51","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1MzgyMzAwMDAwNTIwNDIwMjNMMQ%3D%3D"
"52","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1Mzk5NDAwMDAwNTc3NTIwMjNMMQ%3D%3D"
"53","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NDE2MzAwMDAwNTEwNjIwMjNJUw%3D%3D"
"54","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NDM4NzAwMDAwNTQ0NTIwMjNJUw%3D%3D"
"55","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NDE4MDAwMDAwNjI2MDIwMjNMMQ%3D%3D"
"56","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NDEzMDAwMDAwNTkwMTIwMjNMMQ%3D%3D"
"57","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NDI5NzAwMDAwNjA5MzIwMjNMMQ%3D%3D"
"58","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NDQyMzAwMDAwNjU0MDIwMjNMMQ%3D%3D"
"59","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NDY0NTAwMDAwNTg3NzIwMjNJUw%3D%3D"
"60","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NDI2MzAwMDAwNTIwNzIwMjNJUw%3D%3D"
"61","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NDM2MDAwMDAwNTM4MTIwMjNJUw%3D%3D"
"62","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NDcxMDAwMDAwNzExMDIwMjNMMQ%3D%3D"
"63","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NDE1MTAwMDAwNjAxNzIwMjNMMQ%3D%3D"
"64","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NDczMTAwMDAwNjAyMDIwMjNJUw%3D%3D"
"65","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NDI0OTAwMDAwNjA2OTIwMjNMMQ%3D%3D"
"66","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NDY2NTAwMDAwNTkwNzIwMjNJUw%3D%3D"
"67","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NDU1NTAwMDAwNjg2ODIwMjNMMQ%3D%3D"
"68","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NTA2ODAwMDAwODUxODIwMjNMMQ%3D%3D"
